"";"Q0_Ouv_point_noir";"Q0_Ouv_commentaires"
"121";"Quai de Seine rive droite - Hôtel de Ville à Trocadéro
Quai de Seine rive gauche - Gare d'Austerlitz à Tour Eiffel
Grands Boulevards
Place de la République
Place de la Bastille";"Beaucoup de gens ne se mettent pas au vélo à Paris car ils ne se sentent pas en sécurité : la voirie doit être adaptée à l'usage du vélo en créant un réseau cyclable structurant confortable, rapide et sûr et sans coupure. Les intersections doivent être spécifiquement traitées avec un marquage au sol clair (bandes colorées), un phasage des feux adaptés. Ce réseau ne doit pas être encombré de véhicules stationnés ou arrêté (amende lourde dissuasive, campagne d'affichage). Le réseau structurant doit être large pour permettre de doubler (tous les cyclistes ne roulent pas à la même allure, contrairement aux automobilistes qui peuvent toujours rouler à la vitesse maximale autorisée...).  Ce réseau doit être nettement séparé des voies pour véhicules motorisés (voitures, mais aussi bus et taxis), notamment si les véhicules motorisés ont une vitesse limitée au-dessus de 30 km/h. Le réseau doit disposer de panneaux de direction, avec les distances et/ou le temps de trajet. Les panneaux doivent être cohérents et indiquer le chemin jusqu'à la destination indiquée (pour ne pas se retrouver à ne plus savoir où aller après avoir suivi 3 panneaux).
Ce réseau structurant doit être complété par un réseau secondaire (zone 20 ou 30 km/h), avec un minimum de voies en sens uniques, des places de stationnement (par exemple systématiquement à la place de stationnement pour véhicule motorisé aux abords des passages piétons, car dans ce cas les véhicules motorisés gêne la visibilité des piétons ce qui n'est pas le cas de vélos). Sur ce réseau secondaire, des panneaux de directions spécifiques vélo doivent aussi être implantés, avec la même exigence de cohérence que sur le réseau principal. Enfin, les intersections (places, voies rapides de véhicules motorisés) doivent être traitées et sécurisées pour les cyclistes.
Pour savoir si le réseau cyclable est sûr, demandez-vous si vous laisseriez un enfant de 10 ans l'emprunter..."
"122";"rue de la convention";NA
"123";"Grands axes, carrefours, sorties pour ballades en forêt.";"Très agréable à condition d'être très prudent !"
"124";"Je dirais que les axes mêlant bus, taxi sont un problème pour les cyclistes. Différentiel de taille et de vitesse car les taxi roulent souvent vite. Mais au demeurant ces conducteurs font attention. les grandes places comme la concorde, l'étoile, la nation, bastille ne sont pas équipées pour une traversée. les champs Elysées ne sont pas du tout équipés ni l'avenue de la grande armée... ce qui considérant la largeur des trottoirs et de ces avenues semble quelque peu paradoxal.";"L'avenir d'une ville comme Paris passe par le développement du VAE, plus adapté et permettant de lisser les démarrages. Paris doit encore faire des efforts pour redonner une place au vélo, et permettre au gens de sécuriser le stationnement de leur cycle. Trop de place est encore dédié à la voiture et au scooter. Par exemple il devrait être installé des arceaux devant toutes les zones où des entreprises travaillent. mon site rassemble 1500 personnes et aucune place de stationnement sécurisé à proximité. résultat des vols à répétition... Les gens sont globalement pour acheter un vélo. mais le 1er vol les obligera à revoir le budget à la baisse ou à retourner à leur ancien moyen de transport. Sécurisez le stationnement. mettre en place des kits facile et accessible pour les copropriétés d'immeuble comme vous faites pour les composteurs... paris est une ville cyclable. Merci pour vos efforts en tout cas, et de tenter de faire avancer les choses."
"125";"gare du nord";NA
"126";"Les grands boulevards";"Il faudrait séparer plus les pistes cyclables adaptés des axes des véhicules motorisés. Lutter contre les scooter et motos qui empruntent de plus en plus les voies vélos. Augmenter le nombre de SAS vélo aux feux rouges. Et entretenir les pistes cyclables, j'ai encore plié ma jante arrière (2ème en moins d'un an)."
"127";"les pistes cyclables ""fermées"" (coincées entre le trottoir et les voitures en stationnement)";"Les cyclistes devraient être plus consultés et écoutés. Les pistes cyclables ne devraient pas être conçues comme pour ""débarrasser"" la chaussée des cyclistes mais pour en faire réellement le moyen de locomotion principal et prioritaire en ville, en intégrant le fait qu'on puisse être pressé à vélo et pas en supposant qu'on est toujours en train de ""se balader""."
"128";"Les couloirs de bus partagés (incrustation des 2 roues), les trottoirs partagés entre cyclistes et Piétons (mauvaise appréhension des pistes cyclables par les piétons qui marchent dessus), les pistes cyclables en elle meme encombrées par des véhicules garés dessus";"Vivement l'aboutissement du plan velo de la ville !"
"129";"Rue marx dormoy";NA
"130";"Les quartiers à forte densité d'habitation impliquent un grand risque de vol et une offre bien trop mince en location (Vélib). Les quartiers à faible intérêt culturel et sociale (ex : Paris 15) a une offre trop restreinte d'installations.";NA
"131";"piste cyclable entre barbes et marcadet poissoniers";"piste cyclable inutilisable car toujours des piétons dessus , il faudrait une piste cyclable séparée du trottoir et de la route"
"132";"Toutes les routes à proximité du périphérique. C'est très dangereux lorsqu'on veut se rendre dans une commune voisine (par exemple : Paris- Levallois Perret, où je travaille)";"Il y a de belles avancées, il en faut encore plus ! Plus de zones piétonnes notamment. Multiplier encore les velib"
"133";"La traversée de grandes intersections : place de la concorde, montparnasse...";"Selon moi, le plus gros problème est le manque de respect des autres usagers envers les vélos, en particulier les 2 roues (surtout scooters), les taxis et les bus avec qui nous devons souvent partager les voies bus, et enfin les camionnettes.
Une autre nuisance incontestable est le bruit.
"
"134";"place de la concorde";"Il y a beaucoup d'aménagements cyclables qui sont très perfectibles : largeur insuffisante, discontinuité, virage impossible à prendre etc."
"135";"Les boulevards de manière générale, et les croisements importants";"L'agressivité des automobilistes et surtout des 2 roues motorisés est une entrave au confort des déplacements à vélo, qui génère du stress et de l'insécurité."
"136";"place de la bastille";NA
"137";"Boulevard Magenta";"Plus de communication et de sensibilisation ne ferait pas de mal (doux euphémisme)"
"138";"les grands axes";NA
"139";"Gros ronds-points type Charles de gaulle, porte maillot et traversée de périphérique";NA
"140";"les grosses places parisiennes : place de la bastille, de la concorde, de la république...";"La piétonnisation des quais de Seine est un grand bonheur. J'apprécie les efforts qui sont faits en faveur du vélo. J'attends avec impatience tous les pas supplémentaires vers une ville sans véhicules à moteur."
"141";"Boulevard Saint-Germain";"Nous restons une ville très en retard. Paris est une ville consacrée à la voiture il faut que cela change. Je pense que la mairie doit continuer dans la direction qu'elle a pris en allant plus loin et en éliminant progressivement les véhicules à moteur. Bien sûr les pistes cyclables doivent être présentes partout et les entreprises qui financent les déplacements à vélo de leurs employés doivent être encouragées. Enfin la préfecture doit faire son boulot et punir ceux qui ne respectent pas le code de la route et se garent sur les pistes cyclables. Une amende dissuasive doit être créée."
"142";"Trajets cyclables peut adapter à une pratique quotidienne.
Circuler à vélo reste éserver aux cyclistes expérimentés.
Ce n'est jamais une expérience agréable.";"Des efforts fournis (pistes/bandes), mais souvent mal conçus (ex : le bd des maréchaux : piste parking, sur le trottoir, très inconfortable, avec des potelets dangereux pour les cyclistes)."
"143";"Les grandes places (Bastille en tête) et les boulevards pavés à la circulation rapide (Haussmann)";"On sent que ça augmente de mois en mois !"
"144";"Les grands axes, grands boulevards par exemple, où les pistes cyclables non séparées sont squattées par les 2 roues";"Pédagogie à faire auprès des conducteurs sur le vélo (respect sas vélo et pistes cyclables et clignotant), mieux entretenir les pistes cyclables."
"145";"Les carrefours Jaurès et Stalingrad
L'avenue de Flandres";"Certains axe sont très efficaces (pistes cyclables le long du canal, rue d'aubervilliers) mais une grande vigilance doit être maintenue pour éviter les véhicules motorisés stationnés ou empruntant les aménagements cyclistes..."
"146";"rond point du louvre, porte maillot, stalingrad";"Mieux valoriser l'usage du vélo (mix de communication, verbalisation des stationnement sur voies cyclables, entretien des voix cyclable à contre-sens souvent déteriorées...)"
"147";"Croisements";NA
"148";"Entre la porte maillot et la porte de la chapelle.";"Il serait bon de multiplier plutôt les aménagements sur la route plutôt que sur les trottoirs."
"149";"Les grands axes de circulation 
Les ronds points
Toutes les voies pavées (très nombreuses)";NA
"150";"les grands axes et la sortie de Paris à vélo";"l'agressivité de la part des usagers motorisés est délirante"
"151";"8e arrondissement, Champs Élysées, Place de l'étoile";"Il faudrait mieux sécuriser les voie cyclables pour limiter les interférences avec les véhicules motorisés d'abord, et avec les piétons ensuite même si ce dernier point est plus difficile à traiter."
"152";"Les couloirs de bus sont dangereux";NA
"153";"Entre gare du Nord et république, la piste cyclable est mal faite, il y a pleins de piéton et de rue à traverser.";"Plus de pistes cyclable et moins de voiture. 
Verbaliser les voitures stationnées n'importe où et les voitures qui ne respectent pas les limites de distance lors d'un doublement d'un vélo 
"
"154";"Place du 18 juin 1940 (Montparnasse)
La majorité des ronds points et gros carrefours sans aménagements spécifique réels.

";"La priorité est pour moi de faire respecter les aménagements cyclables existants (pistes, bandes, SAS, etc...)"
"155";"pistes cyclables prises comme place de parking, dangereux";NA
